Gender,Age Group,2013BQ,2020BQ,2026BQ
M,Under 20,11100,10800,10500
M,20-24,11100,10800,10500
M,25-29,11100,10800,10500
M,30-34,11100,10800,10500
M,35-39,11400,11100,10800
M,40-44,11700,11400,11100
M,45-49,12300,12000,11700
M,50-54,12600,12300,12000
M,55-59,13200,12900,12600
M,60-64,14100,13800,13800
M,65-69,15000,14700,14700
M,70-74,15900,15600,15600
M,75-79,16800,16500,16500
M,80 and Over,17700,17400,17400
F,Under 20,12900,12600,12300
F,20-24,12900,12600,12300
F,25-29,12900,12600,12300
F,30-34,12900,12600,12300
F,35-39,13200,12900,12600
F,40-44,13500,13200,12900
F,45-49,14100,13800,13500
F,50-54,14400,14100,13800
F,55-59,15000,14700,14400
F,60-64,15900,15600,15600
F,65-69,16800,16500,16500
F,70-74,17700,17400,17400
F,75-79,18600,18300,18300
F,80 and Over,19500,19200,19200
X,Under 20,12900,12600,12300
X,20-24,12900,12600,12300
X,25-29,12900,12600,12300
X,30-34,12900,12600,12300
X,35-39,13200,12900,12600
X,40-44,13500,13200,12900
X,45-49,14100,13800,13500
X,50-54,14400,14100,13800
X,55-59,15000,14700,14400
X,60-64,15900,15600,15600
X,65-69,16800,16500,16500
X,70-74,17700,17400,17400
X,75-79,18600,18300,18300
X,80 and Over,19500,19200,19200
