model,gender,BQ_Age,buffer_sec,buffer_mmss,prob_accept
Perceptron,M,18-34,0,0:00,0.28826161148226076
Perceptron,M,18-34,30,0:30,0.9931602158583125
Perceptron,M,18-34,60,1:00,0.9999807910228246
Perceptron,M,18-34,90,1:30,0.9999999464200799
Perceptron,M,18-34,120,2:00,0.9999999998505515
Perceptron,M,18-34,150,2:30,0.9999999999995832
Perceptron,M,18-34,180,3:00,0.9999999999999989
Perceptron,M,18-34,210,3:30,1.0
Perceptron,M,18-34,240,4:00,1.0
Perceptron,M,18-34,270,4:30,1.0
Perceptron,M,18-34,300,5:00,1.0
Perceptron,M,18-34,330,5:30,1.0
Perceptron,M,18-34,360,6:00,1.0
Perceptron,M,18-34,390,6:30,1.0
Perceptron,M,18-34,420,7:00,1.0
Perceptron,M,18-34,450,7:30,1.0
Perceptron,M,18-34,480,8:00,1.0
Perceptron,M,18-34,510,8:30,1.0
Perceptron,M,18-34,540,9:00,1.0
Perceptron,M,18-34,570,9:30,1.0
Perceptron,M,18-34,600,10:00,1.0
Perceptron,M,18-34,630,10:30,1.0
Perceptron,M,18-34,660,11:00,1.0
Perceptron,F,18-34,0,0:00,0.5240210011820153
Perceptron,F,18-34,30,0:30,0.997472857760465
Perceptron,F,18-34,60,1:00,0.999992933326405
Perceptron,F,18-34,90,1:30,0.9999999802890484
Perceptron,F,18-34,120,2:00,0.9999999999450209
Perceptron,F,18-34,150,2:30,0.9999999999998466
Perceptron,F,18-34,180,3:00,0.9999999999999996
Perceptron,F,18-34,210,3:30,1.0
Perceptron,F,18-34,240,4:00,1.0
Perceptron,F,18-34,270,4:30,1.0
Perceptron,F,18-34,300,5:00,1.0
Perceptron,F,18-34,330,5:30,1.0
Perceptron,F,18-34,360,6:00,1.0
Perceptron,F,18-34,390,6:30,1.0
Perceptron,F,18-34,420,7:00,1.0
Perceptron,F,18-34,450,7:30,1.0
Perceptron,F,18-34,480,8:00,1.0
Perceptron,F,18-34,510,8:30,1.0
Perceptron,F,18-34,540,9:00,1.0
Perceptron,F,18-34,570,9:30,1.0
Perceptron,F,18-34,600,10:00,1.0
Perceptron,F,18-34,630,10:30,1.0
Perceptron,F,18-34,660,11:00,1.0
Perceptron,M,40-44,0,0:00,0.28826161148226076
Perceptron,M,40-44,30,0:30,0.9931602158583125
Perceptron,M,40-44,60,1:00,0.9999807910228246
Perceptron,M,40-44,90,1:30,0.9999999464200799
Perceptron,M,40-44,120,2:00,0.9999999998505515
Perceptron,M,40-44,150,2:30,0.9999999999995832
Perceptron,M,40-44,180,3:00,0.9999999999999989
Perceptron,M,40-44,210,3:30,1.0
Perceptron,M,40-44,240,4:00,1.0
Perceptron,M,40-44,270,4:30,1.0
Perceptron,M,40-44,300,5:00,1.0
Perceptron,M,40-44,330,5:30,1.0
Perceptron,M,40-44,360,6:00,1.0
Perceptron,M,40-44,390,6:30,1.0
Perceptron,M,40-44,420,7:00,1.0
Perceptron,M,40-44,450,7:30,1.0
Perceptron,M,40-44,480,8:00,1.0
Perceptron,M,40-44,510,8:30,1.0
Perceptron,M,40-44,540,9:00,1.0
Perceptron,M,40-44,570,9:30,1.0
Perceptron,M,40-44,600,10:00,1.0
Perceptron,M,40-44,630,10:30,1.0
Perceptron,M,40-44,660,11:00,1.0
Adaline_like,M,18-34,0,0:00,0.6956023762861745
Adaline_like,M,18-34,30,0:30,0.698453973991488
Adaline_like,M,18-34,60,1:00,0.7012903295087385
Adaline_like,M,18-34,90,1:30,0.7041113082160194
Adaline_like,M,18-34,120,2:00,0.7069167797354707
Adaline_like,M,18-34,150,2:30,0.7097066179304675
Adaline_like,M,18-34,180,3:00,0.7124807009006805
Adaline_like,M,18-34,210,3:30,0.7152389109750477
Adaline_like,M,18-34,240,4:00,0.7179811347026921
Adaline_like,M,18-34,270,4:30,0.7207072628418271
Adaline_like,M,18-34,300,5:00,0.7234171903466871
Adaline_like,M,18-34,330,5:30,0.7261108163525276
Adaline_like,M,18-34,360,6:00,0.728788044158735
Adaline_like,M,18-34,390,6:30,0.7314487812100885
Adaline_like,M,18-34,420,7:00,0.7340929390762229
Adaline_like,M,18-34,450,7:30,0.736720433429331
Adaline_like,M,18-34,480,8:00,0.7393311840201576
Adaline_like,M,18-34,510,8:30,0.7419251146523268
Adaline_like,M,18-34,540,9:00,0.7445021531550522
Adaline_like,M,18-34,570,9:30,0.7470622313542774
Adaline_like,M,18-34,600,10:00,0.7496052850422948
Adaline_like,M,18-34,630,10:30,0.7521312539458909
Adaline_like,M,18-34,660,11:00,0.7546400816930664
Adaline_like,F,18-34,0,0:00,0.6959319722731279
Adaline_like,F,18-34,30,0:30,0.6987818193766844
Adaline_like,F,18-34,60,1:00,0.7016164085521618
Adaline_like,F,18-34,90,1:30,0.7044356056671166
Adaline_like,F,18-34,120,2:00,0.7072392808329374
Adaline_like,F,18-34,150,2:30,0.7100273084017863
Adaline_like,F,18-34,180,3:00,0.7127995669614163
Adaline_like,F,18-34,210,3:30,0.7155559393279043
Adaline_like,F,18-34,240,4:00,0.7182963125363352
Adaline_like,F,18-34,270,4:30,0.7210205778294765
Adaline_like,F,18-34,300,5:00,0.7237286306444851
Adaline_like,F,18-34,330,5:30,0.7264203705976875
Adaline_like,F,18-34,360,6:00,0.7290957014674724
Adaline_like,F,18-34,390,6:30,0.7317545311753457
Adaline_like,F,18-34,420,7:00,0.7343967717651853
Adaline_like,F,18-34,450,7:30,0.7370223393807462
Adaline_like,F,18-34,480,8:00,0.7396311542414584
Adaline_like,F,18-34,510,8:30,0.7422231406165662
Adaline_like,F,18-34,540,9:00,0.7447982267976551
Adaline_like,F,18-34,570,9:30,0.7473563450696132
Adaline_like,F,18-34,600,10:00,0.7498974316800795
Adaline_like,F,18-34,630,10:30,0.75242142680742
Adaline_like,F,18-34,660,11:00,0.754928274527289
Adaline_like,M,40-44,0,0:00,0.6961445226023563
Adaline_like,M,40-44,30,0:30,0.6989932392317121
Adaline_like,M,40-44,60,1:00,0.701826687807407
Adaline_like,M,40-44,90,1:30,0.7046447345127955
Adaline_like,M,40-44,120,2:00,0.7074472497749108
Adaline_like,M,40-44,150,2:30,0.7102341082612461
Adaline_like,M,40-44,180,3:00,0.7130051888744167
Adaline_like,M,40-44,210,3:30,0.7157603747447384
Adaline_like,M,40-44,240,4:00,0.7184995532207611
Adaline_like,M,40-44,270,4:30,0.7212226158577959
Adaline_like,M,40-44,300,5:00,0.7239294584044768
Adaline_like,M,40-44,330,5:30,0.7266199807873982
Adaline_like,M,40-44,360,6:00,0.7292940870938711
Adaline_like,M,40-44,390,6:30,0.7319516855528408
Adaline_like,M,40-44,420,7:00,0.7345926885140113
Adaline_like,M,40-44,450,7:30,0.7372170124252205
Adaline_like,M,40-44,480,8:00,0.7398245778081151
Adaline_like,M,40-44,510,8:30,0.7424153092321655
Adaline_like,M,40-44,540,9:00,0.744989135287077
Adaline_like,M,40-44,570,9:30,0.7475459885536362
Adaline_like,M,40-44,600,10:00,0.7500858055730475
Adaline_like,M,40-44,630,10:30,0.7526085268148028
Adaline_like,M,40-44,660,11:00,0.7551140966431394
LogisticRegression,M,18-34,0,0:00,0.5135851213748843
LogisticRegression,M,18-34,30,0:30,0.9216209487537028
LogisticRegression,M,18-34,60,1:00,0.9924212606473314
LogisticRegression,M,18-34,90,1:30,0.9993147383126306
LogisticRegression,M,18-34,120,2:00,0.9999384283680264
LogisticRegression,M,18-34,150,2:30,0.999994470851531
LogisticRegression,M,18-34,180,3:00,0.9999995035063656
LogisticRegression,M,18-34,210,3:30,0.9999999554172219
LogisticRegression,M,18-34,240,4:00,0.9999999959966792
LogisticRegression,M,18-34,270,4:30,0.9999999996405209
LogisticRegression,M,18-34,300,5:00,0.9999999999677205
LogisticRegression,M,18-34,330,5:30,0.9999999999971014
LogisticRegression,M,18-34,360,6:00,0.9999999999997398
LogisticRegression,M,18-34,390,6:30,0.9999999999999767
LogisticRegression,M,18-34,420,7:00,0.999999999999998
LogisticRegression,M,18-34,450,7:30,0.9999999999999998
LogisticRegression,M,18-34,480,8:00,1.0
LogisticRegression,M,18-34,510,8:30,1.0
LogisticRegression,M,18-34,540,9:00,1.0
LogisticRegression,M,18-34,570,9:30,1.0
LogisticRegression,M,18-34,600,10:00,1.0
LogisticRegression,M,18-34,630,10:30,1.0
LogisticRegression,M,18-34,660,11:00,1.0
LogisticRegression,F,18-34,0,0:00,0.5022456642797312
LogisticRegression,F,18-34,30,0:30,0.9182801952308359
LogisticRegression,F,18-34,60,1:00,0.9920722734474958
LogisticRegression,F,18-34,90,1:30,0.9992829539032735
LogisticRegression,F,18-34,120,2:00,0.9999355706333966
LogisticRegression,F,18-34,150,2:30,0.9999942142111721
LogisticRegression,F,18-34,180,3:00,0.9999994804610494
LogisticRegression,F,18-34,210,3:30,0.9999999533478605
LogisticRegression,F,18-34,240,4:00,0.9999999958108603
LogisticRegression,F,18-34,270,4:30,0.9999999996238353
LogisticRegression,F,18-34,300,5:00,0.9999999999662221
LogisticRegression,F,18-34,330,5:30,0.9999999999969669
LogisticRegression,F,18-34,360,6:00,0.9999999999997276
LogisticRegression,F,18-34,390,6:30,0.9999999999999756
LogisticRegression,F,18-34,420,7:00,0.9999999999999978
LogisticRegression,F,18-34,450,7:30,0.9999999999999998
LogisticRegression,F,18-34,480,8:00,1.0
LogisticRegression,F,18-34,510,8:30,1.0
LogisticRegression,F,18-34,540,9:00,1.0
LogisticRegression,F,18-34,570,9:30,1.0
LogisticRegression,F,18-34,600,10:00,1.0
LogisticRegression,F,18-34,630,10:30,1.0
LogisticRegression,F,18-34,660,11:00,1.0
LogisticRegression,M,40-44,0,0:00,0.5292210638186999
LogisticRegression,M,40-44,30,0:30,0.9260295920166122
LogisticRegression,M,40-44,60,1:00,0.9928783205154023
LogisticRegression,M,40-44,90,1:30,0.999356334824319
LogisticRegression,M,40-44,120,2:00,0.9999421680583351
LogisticRegression,M,40-44,150,2:30,0.9999948066943659
LogisticRegression,M,40-44,180,3:00,0.9999995336637432
LogisticRegression,M,40-44,210,3:30,0.9999999581252128
LogisticRegression,M,40-44,240,4:00,0.9999999962398438
LogisticRegression,M,40-44,270,4:30,0.9999999996623559
LogisticRegression,M,40-44,300,5:00,0.9999999999696811
LogisticRegression,M,40-44,330,5:30,0.9999999999972775
LogisticRegression,M,40-44,360,6:00,0.9999999999997555
LogisticRegression,M,40-44,390,6:30,0.999999999999978
LogisticRegression,M,40-44,420,7:00,0.999999999999998
LogisticRegression,M,40-44,450,7:30,0.9999999999999998
LogisticRegression,M,40-44,480,8:00,1.0
LogisticRegression,M,40-44,510,8:30,1.0
LogisticRegression,M,40-44,540,9:00,1.0
LogisticRegression,M,40-44,570,9:30,1.0
LogisticRegression,M,40-44,600,10:00,1.0
LogisticRegression,M,40-44,630,10:30,1.0
LogisticRegression,M,40-44,660,11:00,1.0
KNN(k=15),M,18-34,0,0:00,0.4666666666666667
KNN(k=15),M,18-34,30,0:30,0.6
KNN(k=15),M,18-34,60,1:00,1.0
KNN(k=15),M,18-34,90,1:30,1.0
KNN(k=15),M,18-34,120,2:00,1.0
KNN(k=15),M,18-34,150,2:30,1.0
KNN(k=15),M,18-34,180,3:00,1.0
KNN(k=15),M,18-34,210,3:30,1.0
KNN(k=15),M,18-34,240,4:00,1.0
KNN(k=15),M,18-34,270,4:30,1.0
KNN(k=15),M,18-34,300,5:00,1.0
KNN(k=15),M,18-34,330,5:30,1.0
KNN(k=15),M,18-34,360,6:00,1.0
KNN(k=15),M,18-34,390,6:30,1.0
KNN(k=15),M,18-34,420,7:00,1.0
KNN(k=15),M,18-34,450,7:30,1.0
KNN(k=15),M,18-34,480,8:00,1.0
KNN(k=15),M,18-34,510,8:30,1.0
KNN(k=15),M,18-34,540,9:00,1.0
KNN(k=15),M,18-34,570,9:30,1.0
KNN(k=15),M,18-34,600,10:00,1.0
KNN(k=15),M,18-34,630,10:30,1.0
KNN(k=15),M,18-34,660,11:00,1.0
KNN(k=15),F,18-34,0,0:00,0.8
KNN(k=15),F,18-34,30,0:30,0.8
KNN(k=15),F,18-34,60,1:00,1.0
KNN(k=15),F,18-34,90,1:30,1.0
KNN(k=15),F,18-34,120,2:00,1.0
KNN(k=15),F,18-34,150,2:30,1.0
KNN(k=15),F,18-34,180,3:00,1.0
KNN(k=15),F,18-34,210,3:30,1.0
KNN(k=15),F,18-34,240,4:00,1.0
KNN(k=15),F,18-34,270,4:30,1.0
KNN(k=15),F,18-34,300,5:00,1.0
