race_year,cutoff_seconds,Gender_norm,BQ_Age,Standard_sec,ActualQualifyingTime_sec,ActualQualifyingTime_mmss
2012,74,F,18-34,12900.0,12826.0,213:46
2013,0,F,18-34,12900.0,12900.0,215:00
2014,98,F,18-34,12900.0,12802.0,213:22
2015,62,F,18-34,12900.0,12838.0,213:58
2016,148,F,18-34,12900.0,12752.0,212:32
2017,129,F,18-34,12900.0,12771.0,212:51
2018,203,F,18-34,12900.0,12697.0,211:37
2019,292,F,18-34,12900.0,12608.0,210:08
2020,99,F,18-34,12900.0,12801.0,213:21
2021,467,F,18-34,12900.0,12433.0,207:13
2022,0,F,18-34,12900.0,12900.0,215:00
2023,0,F,18-34,12900.0,12900.0,215:00
2024,329,F,18-34,12900.0,12571.0,209:31
2025,411,F,18-34,12900.0,12489.0,208:09
2026,274,F,18-34,12900.0,12626.0,210:26
2012,74,F,35-39,13200.0,13126.0,218:46
2013,0,F,35-39,13200.0,13200.0,220:00
2014,98,F,35-39,13200.0,13102.0,218:22
2015,62,F,35-39,13200.0,13138.0,218:58
2016,148,F,35-39,13200.0,13052.0,217:32
2017,129,F,35-39,13200.0,13071.0,217:51
2018,203,F,35-39,13200.0,12997.0,216:37
2019,292,F,35-39,13200.0,12908.0,215:08
2020,99,F,35-39,13200.0,13101.0,218:21
2021,467,F,35-39,13200.0,12733.0,212:13
2022,0,F,35-39,13200.0,13200.0,220:00
2023,0,F,35-39,13200.0,13200.0,220:00
2024,329,F,35-39,13200.0,12871.0,214:31
2025,411,F,35-39,13200.0,12789.0,213:09
2026,274,F,35-39,13200.0,12926.0,215:26
2012,74,F,40-44,13500.0,13426.0,223:46
2013,0,F,40-44,13500.0,13500.0,225:00
2014,98,F,40-44,13500.0,13402.0,223:22
2015,62,F,40-44,13500.0,13438.0,223:58
2016,148,F,40-44,13500.0,13352.0,222:32
2017,129,F,40-44,13500.0,13371.0,222:51
2018,203,F,40-44,13500.0,13297.0,221:37
2019,292,F,40-44,13500.0,13208.0,220:08
2020,99,F,40-44,13500.0,13401.0,223:21
2021,467,F,40-44,13500.0,13033.0,217:13
2022,0,F,40-44,13500.0,13500.0,225:00
2023,0,F,40-44,13500.0,13500.0,225:00
2024,329,F,40-44,13500.0,13171.0,219:31
2025,411,F,40-44,13500.0,13089.0,218:09
2026,274,F,40-44,13500.0,13226.0,220:26
2012,74,F,45-49,14100.0,14026.0,233:46
2013,0,F,45-49,14100.0,14100.0,235:00
2014,98,F,45-49,14100.0,14002.0,233:22
2015,62,F,45-49,14100.0,14038.0,233:58
2016,148,F,45-49,14100.0,13952.0,232:32
2017,129,F,45-49,14100.0,13971.0,232:51
2018,203,F,45-49,14100.0,13897.0,231:37
2019,292,F,45-49,14100.0,13808.0,230:08
2020,99,F,45-49,14100.0,14001.0,233:21
2021,467,F,45-49,14100.0,13633.0,227:13
2022,0,F,45-49,14100.0,14100.0,235:00
2023,0,F,45-49,14100.0,14100.0,235:00
2024,329,F,45-49,14100.0,13771.0,229:31
2025,411,F,45-49,14100.0,13689.0,228:09
2026,274,F,45-49,14100.0,13826.0,230:26
2012,74,F,50-54,14400.0,14326.0,238:46
2013,0,F,50-54,14400.0,14400.0,240:00
2014,98,F,50-54,14400.0,14302.0,238:22
2015,62,F,50-54,14400.0,14338.0,238:58
2016,148,F,50-54,14400.0,14252.0,237:32
2017,129,F,50-54,14400.0,14271.0,237:51
2018,203,F,50-54,14400.0,14197.0,236:37
2019,292,F,50-54,14400.0,14108.0,235:08
2020,99,F,50-54,14400.0,14301.0,238:21
2021,467,F,50-54,14400.0,13933.0,232:13
2022,0,F,50-54,14400.0,14400.0,240:00
2023,0,F,50-54,14400.0,14400.0,240:00
2024,329,F,50-54,14400.0,14071.0,234:31
2025,411,F,50-54,14400.0,13989.0,233:09
2026,274,F,50-54,14400.0,14126.0,235:26
2012,74,F,55-59,15000.0,14926.0,248:46
2013,0,F,55-59,15000.0,15000.0,250:00
2014,98,F,55-59,15000.0,14902.0,248:22
2015,62,F,55-59,15000.0,14938.0,248:58
2016,148,F,55-59,15000.0,14852.0,247:32
2017,129,F,55-59,15000.0,14871.0,247:51
2018,203,F,55-59,15000.0,14797.0,246:37
2019,292,F,55-59,15000.0,14708.0,245:08
2020,99,F,55-59,15000.0,14901.0,248:21
2021,467,F,55-59,15000.0,14533.0,242:13
2022,0,F,55-59,15000.0,15000.0,250:00
2023,0,F,55-59,15000.0,15000.0,250:00
2024,329,F,55-59,15000.0,14671.0,244:31
2025,411,F,55-59,15000.0,14589.0,243:09
2026,274,F,55-59,15000.0,14726.0,245:26
2012,74,F,60-64,15900.0,15826.0,263:46
2013,0,F,60-64,15900.0,15900.0,265:00
2014,98,F,60-64,15900.0,15802.0,263:22
2015,62,F,60-64,15900.0,15838.0,263:58
2016,148,F,60-64,15900.0,15752.0,262:32
2017,129,F,60-64,15900.0,15771.0,262:51
2018,203,F,60-64,15900.0,15697.0,261:37
2019,292,F,60-64,15900.0,15608.0,260:08
2020,99,F,60-64,15900.0,15801.0,263:21
2021,467,F,60-64,15900.0,15433.0,257:13
2022,0,F,60-64,15900.0,15900.0,265:00
2023,0,F,60-64,15900.0,15900.0,265:00
2024,329,F,60-64,15900.0,15571.0,259:31
2025,411,F,60-64,15900.0,15489.0,258:09
2026,274,F,60-64,15900.0,15626.0,260:26
2012,74,F,65-69,16800.0,16726.0,278:46
