race_year,gender,age,finish_time
2019,F,34,3:25:39
2019,F,29,3:24:43
2019,F,28,3:26:20
2019,F,19,3:27:37
2019,F,28,3:26:37
2019,F,24,3:28:21
2019,F,32,3:25:03
2019,F,20,3:22:14
2019,F,21,3:26:36
2019,F,29,3:27:26
2019,F,29,3:24:09
2019,F,32,3:24:50
2019,F,26,3:25:23
2019,F,24,3:27:48
2019,F,23,3:25:58
2019,F,24,3:24:04
2019,F,29,3:29:12
2019,F,27,3:26:48
2019,F,23,3:30:40
2019,F,21,3:28:53
2019,F,30,3:30:46
2019,F,22,3:26:09
2019,F,21,3:29:00
2019,F,23,3:24:45
2019,F,32,3:25:05
2019,F,25,3:25:53
2019,F,28,3:32:36
2019,F,19,3:27:02
2019,F,23,3:25:57
2019,F,30,3:25:20
2019,F,31,3:29:34
2019,F,27,3:26:51
2019,F,32,3:28:08
2019,F,23,3:27:48
2019,F,20,3:22:44
2019,F,19,3:27:44
2019,F,21,3:25:27
2019,F,30,3:23:07
2019,F,33,3:27:31
2019,F,20,3:25:48
2019,F,26,3:25:08
2019,F,20,3:25:32
2019,F,32,3:29:11
2019,F,20,3:25:08
2019,F,28,3:21:58
2019,F,19,3:29:38
2019,F,30,3:22:59
2019,F,33,3:25:28
2019,F,30,3:27:20
2019,F,22,3:20:19
2019,F,32,3:23:27
2019,F,23,3:28:55
2019,F,30,3:25:20
2019,F,32,3:24:04
2019,F,26,3:25:55
2019,F,28,3:23:34
2019,F,32,3:26:05
2019,F,21,3:23:45
2019,F,18,3:21:51
2019,F,25,3:27:26
2019,F,21,3:25:00
2019,F,33,3:26:46
2019,F,32,3:25:25
2019,F,24,3:28:44
2019,F,23,3:27:09
2019,F,30,3:26:10
2019,F,25,3:23:28
2019,F,19,3:22:43
2019,F,29,3:29:14
2019,F,30,3:27:38
2019,F,19,3:23:38
2019,F,31,3:31:08
2019,F,27,3:27:04
2019,F,32,3:25:52
2019,F,32,3:22:23
2019,F,29,3:23:57
2019,F,23,3:26:40
2019,F,24,3:26:48
2019,F,30,3:26:13
2019,F,19,3:21:52
2019,F,21,3:26:32
2019,F,26,3:26:37
2019,F,34,3:24:48
2019,F,30,3:26:08
2019,F,31,3:26:32
2019,F,21,3:28:54
2019,F,22,3:25:26
2019,F,22,3:26:29
2019,F,30,3:22:41
2019,F,27,3:23:41
2019,F,21,3:25:42
2019,F,30,3:24:01
2019,F,28,3:26:13
2019,F,33,3:22:24
2019,F,27,3:25:42
2019,F,20,3:24:05
2019,F,33,3:29:02
2019,F,21,3:24:43
2019,F,18,3:29:58
2019,F,31,3:30:45
2019,F,25,3:26:25
2019,F,28,3:27:50
2019,F,20,3:24:52
2019,F,30,3:19:45
2019,F,24,3:27:50
2019,F,34,3:27:23
2019,F,28,3:24:53
2019,F,33,3:24:11
2019,F,31,3:25:54
2019,F,32,3:26:00
2019,F,19,3:23:48
2019,F,31,3:24:05
2019,F,28,3:28:28
2019,F,24,3:25:55
2019,F,23,3:25:57
2019,F,28,3:28:10
2019,F,21,3:25:07
2019,F,21,3:27:54
2019,F,32,3:23:02
2019,F,30,3:24:50
2019,F,36,3:30:22
2019,F,37,3:26:38
2019,F,36,3:28:49
2019,F,38,3:30:43
2019,F,37,3:32:23
2019,F,35,3:32:05
2019,F,39,3:26:34
2019,F,35,3:29:21
2019,F,36,3:30:15
2019,F,35,3:31:27
2019,F,39,3:33:30
2019,F,36,3:30:48
2019,F,39,3:28:12
2019,F,39,3:31:31
2019,F,36,3:31:11
2019,F,35,3:31:01
2019,F,35,3:30:05
2019,F,35,3:34:52
2019,F,37,3:31:26
2019,F,35,3:32:36
2019,F,39,3:28:17
2019,F,37,3:32:33
2019,F,39,3:28:54
2019,F,35,3:26:44
2019,F,35,3:31:22
2019,F,37,3:32:32
2019,F,35,3:29:58
2019,F,35,3:30:43
2019,F,35,3:33:14
2019,F,36,3:29:15
2019,F,38,3:25:23
2019,F,38,3:31:17
2019,F,37,3:31:18
2019,F,35,3:33:25
2019,F,37,3:29:34
2019,F,38,3:33:56
2019,F,35,3:33:36
2019,F,37,3:27:25
2019,F,39,3:32:52
2019,F,37,3:27:45
2019,F,37,3:26:13
2019,F,39,3:30:04
2019,F,38,3:28:56
2019,F,35,3:25:04
2019,F,38,3:31:09
2019,F,39,3:32:26
2019,F,36,3:33:56
2019,F,39,3:30:18
2019,F,37,3:26:32
2019,F,38,3:27:51
2019,F,36,3:33:13
2019,F,35,3:32:45
2019,F,35,3:31:50
2019,F,38,3:29:58
2019,F,39,3:31:02
2019,F,38,3:30:09
2019,F,36,3:29:39
2019,F,38,3:31:11
2019,F,39,3:30:22
2019,F,36,3:30:27
2019,F,35,3:30:48
2019,F,39,3:29:20
2019,F,35,3:25:38
2019,F,39,3:29:05
2019,F,35,3:30:30
2019,F,35,3:35:31
2019,F,36,3:29:23
2019,F,36,3:35:31
2019,F,36,3:34:11
2019,F,35,3:28:05
2019,F,39,3:28:54
2019,F,39,3:31:12
2019,F,38,3:35:00
2019,F,39,3:31:21
2019,F,39,3:32:22
2019,F,39,3:29:13
2019,F,36,3:24:03
2019,F,38,3:30:10
2019,F,38,3:32:30
2019,F,38,3:33:58
2019,F,38,3:30:34
2019,F,38,3:31:03
2019,F,36,3:33:24
2019,F,37,3:30:08
2019,F,35,3:33:59
2019,F,39,3:27:50
2019,F,39,3:27:43
